Type,ID,Username,Display,Creation,Image,Notes,Verified,Private
Company,151358014,adgrok,adgrok,Jun 2010,adgrok,AdGrok (acquired in 2011),FALSE,FALSE
Company,15087414,BackType,BackType,Jun 2008,BackType,BackType (acquired in 2011),FALSE,FALSE
Company,219397615,bagchk,Bagcheck,Nov 2010,bagchk,Bagcheck (acquired in 2011),FALSE,FALSE
Company,66700936,summify,Summify,Aug 2009,summify,Summify (acquired in 2012),FALSE,FALSE
Company,33837752,dasient,Dasient Inc,Apr 2009,dasient,Dasient (acquired in 2012),FALSE,FALSE
Company,15503880,posterous,posterous,Jul 2008,posterous,Posterous (acquired in 2012),FALSE,FALSE
Company,399680029,clutchio,Clutch IO,Oct 2011,clutchio,Clutch.IO (acquired in 2012),FALSE,FALSE
Company,2817472030,vineapp,Vine App,Oct 2014,vineapp,Vine (acquired in 2012),FALSE,FALSE
Company,586671909,VineCreators,Vine Creators,May 2012,VineCreators,Vine (acquired in 2012),FALSE,TRUE
Company,32295527,wearehunted,We Are Hunted,Apr 2009,wearehunted,We Are Hunted (acquired in 2012),FALSE,FALSE
Company,386219642,ubalo,"Ubalo, Inc.",Oct 2011,ubalo,Ubalo (acquired in 2013),FALSE,FALSE
Company,265775589,luckysort,LuckySort,Mar 2011,luckysort,Lucky Sort (acquired in 2013),FALSE,FALSE
Company,87026259,locomatix,Locomatix Inc,Nov 2009,locomatix,Locomatix (acquired in 2013),FALSE,FALSE
Company,1674026250,Marakana,Marakana,Aug 2013,Marakana,Marakana (acquired in 2013),FALSE,FALSE
Company,14395051,Trendrr,Trendrr,Apr 2008,Trendrr,Trendrr (acquired in 2013),FALSE,FALSE
Company,186372261,Mesagraph,Mesagraph,Sep 2010,Mesagraph,Mesagraph (acquired in 2014),FALSE,FALSE
Company,1202352114,NamoMedia,Namo Media,Feb 2013,NamoMedia,Namo Media (acquired in 2014),FALSE,FALSE
Company,196471681,SnappyTV,SnappyTV,Sep 2010,SnappyTV,SnappyTV (acquired in 2014),TRUE,TRUE
Company,213778021,cardspring,CardSpring,Nov 2010,cardspring,CardSpring (acquired in 2014),FALSE,FALSE
Company,116937881,zipdial,ZipDial,Feb 2010,zipdial,ZipDial (acquired in 2014),FALSE,FALSE
Company,2445809510,PeriscopeCo,Periscope,Apr 2014,PeriscopeCo,Periscope (acquired in 2015),TRUE,FALSE
Company,3099993704,PeriscopeHelp,Periscope Help,Mar 2015,PeriscopeHelp,Periscope (acquired in 2015),TRUE,FALSE
Company,353410520,tenXer,tenXer,Aug 2011,tenXer,tenXer (acquired in 2015),FALSE,FALSE
Company,40312533,tellapart,"TellApart, Inc.",May 2009,tellapart,TellApart (acquired in 2015),FALSE,FALSE
Company,2347122642,whetlab,Whetlab,Feb 2014,whetlab,Whetlab (acquired in 2015),FALSE,FALSE
Company,990154089626587136,fabula_ai,fabula_ai,Apr 2018,fabula_ai,Fabula AI (acquired in 2019),FALSE,FALSE
Company,796388989485875200,meet_aiden,aiden.ai,Nov 2016,meet_aiden,Aiden.ai (acquired in 2019),FALSE,FALSE
Company,1022301729138720769,Chroma_Labs,Chroma Labs,Jul 2018,Chroma_Labs,Chroma Labs (acquired in 2020),FALSE,FALSE
Company,826599269666680832,squad,Squad,Jan 2017,squad,Squad (acquired in 2020),FALSE,FALSE
Company,797664290538852352,Breaker,Breaker,Nov 2016,Breaker,Breaker (acquired in 2021),TRUE,FALSE
Company,297214832,uenodotco,ueno.,May 2011,uenodotco,Ueno (acquired in 2021),FALSE,FALSE
Company,3001165942,revue,Revue,Jan 2015,revue,Revue (acquired in 2021),TRUE,FALSE
Company,1328756432989278208,spheremessenger,Sphere 💬,Nov 2020,spheremessenger,Sphere (acquired in 2021),FALSE,FALSE
Company,900271822465380352,threader,Threader,Aug 2017,threader,Threader (acquired in 2021),TRUE,FALSE
Test,2860640487,Arkahella,Arkahella,Nov 2014,Arkahella,Test account for @kashnaladak,FALSE,FALSE
Test,824829440685404160,Riverganges01,Testvit01,Jan 2017,Riverganges01,Test account,TRUE,TRUE
Test,824830415470985216,riverganges02,lakshmi a,Jan 2017,default,Test account,TRUE,TRUE
Test,824828886869561344,riverganges03,Testvit03,Jan 2017,riverganges03,Test account,TRUE,TRUE
